,ISO2,ISO3,country,year,countries,ISO,hf_score,hf_quartile,pf_score,ef_score,asciiname,latitude,longitude,country code,population
0,AD,AND,Andorra,2019.0,Andorra,,,0.0,,,les Escaldes,42.50729,1.53414,AD,15853.0
1,AD,AND,Andorra,2019.0,Andorra,,,0.0,,,Andorra la Vella,42.50779,1.52109,AD,20430.0
2,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Umm al Qaywayn,25.56473,55.55517,AE,44411.0
3,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Ras al-Khaimah,25.78953,55.9432,AE,115949.0
4,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Khawr Fakkan,25.33132,56.34199,AE,33575.0
5,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Dubai,25.0657,55.17128,AE,1137347.0
6,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Dibba Al-Fujairah,25.59246,56.26176,AE,30000.0
7,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Dibba Al-Hisn,25.61955,56.27291,AE,26395.0
8,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Sharjah,25.33737,55.41206,AE,543733.0
9,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Ar Ruways,24.11028,52.73056,AE,16000.0
10,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Al Fujayrah,25.11641,56.34141,AE,62415.0
11,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Al Ain,24.19167,55.76056,AE,408733.0
12,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Ajman,25.41111,55.43504,AE,226172.0
13,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Adh Dhayd,25.28812,55.88157,AE,24716.0
14,AE,ARE,United Arab Emirates,2019.0,United Arab Emirates,ARE,6.06,4.0,5.2,7.28,Abu Dhabi,24.46667,54.36667,AE,603492.0
158,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Zaranj,30.95962,61.86037,AF,49851.0
159,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Taloqan,36.73605,69.53451,AF,64256.0
160,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Shindand,33.30294,62.1474,AF,29264.0
161,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Shibirghan,36.66757,65.7529,AF,55641.0
162,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Shahrak,34.10737,64.3052,AF,15967.0
163,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Sar-e Pul,36.21544,65.93249,AF,52121.0
164,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Sang-e Charak,35.84972,66.43694,AF,15377.0
165,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Aibak,36.26468,68.01551,AF,47823.0
166,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Rustaq,37.12604,69.83045,AF,25636.0
167,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Qarqin,37.41853,66.04358,AF,15018.0
168,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Qarawul,37.21959,68.7802,AF,24544.0
169,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Pul-e Khumri,35.94458,68.71512,AF,56369.0
170,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Paghman,34.58787,68.95091,AF,49157.0
171,AF,AFG,Afghanistan,2019.0,Afghanistan,,,0.0,,,Nahrin,36.0649,69.13343,AF,22363.0
